2019-11-08 23:37:35iters:  20, loss:2.0569, accuracy:0.5154
2019-11-08 23:39:54iters:  40, loss:1.4630, accuracy:0.6101
2019-11-08 23:42:41iters:  60, loss:1.2629, accuracy:0.6559
2019-11-08 23:45:33iters:  80, loss:1.0841, accuracy:0.7109
2019-11-08 23:48:30iters: 100, loss:1.0007, accuracy:0.7195
2019-11-08 23:51:27iters: 120, loss:0.9421, accuracy:0.7352
2019-11-08 23:54:25iters: 140, loss:0.9269, accuracy:0.7413
2019-11-08 23:57:23iters: 160, loss:0.8118, accuracy:0.7536
2019-11-09 00:00:21iters: 180, loss:0.7207, accuracy:0.7781
2019-11-09 00:03:18iters: 200, loss:0.7699, accuracy:0.7663
2019-11-09 00:06:15iters: 220, loss:0.7093, accuracy:0.7747
2019-11-09 00:09:12iters: 240, loss:0.7572, accuracy:0.7577
2019-11-09 00:12:10iters: 260, loss:0.6778, accuracy:0.7855
2019-11-09 00:15:06iters: 280, loss:0.6626, accuracy:0.7819
2019-11-09 00:18:01iters: 300, loss:0.6207, accuracy:0.795
2019-11-09 00:20:57iters: 320, loss:0.6364, accuracy:0.793
2019-11-09 00:23:52iters: 340, loss:0.6241, accuracy:0.7962
2019-11-09 00:26:48iters: 360, loss:0.6143, accuracy:0.7981
2019-11-09 00:29:44iters: 380, loss:0.5357, accuracy:0.8125
2019-11-09 00:32:41iters: 400, loss:0.5586, accuracy:0.8035
2019-11-09 00:35:38iters: 420, loss:0.5561, accuracy:0.8062
2019-11-09 00:38:36iters: 440, loss:0.5478, accuracy:0.8062
2019-11-09 00:41:32iters: 460, loss:0.5441, accuracy:0.8163
2019-11-09 00:44:28iters: 480, loss:0.5254, accuracy:0.8216
2019-11-09 00:47:26iters: 500, loss:0.5409, accuracy:0.8123
2019-11-09 00:50:25iters: 520, loss:0.5356, accuracy:0.8147
2019-11-09 00:53:27iters: 540, loss:0.5408, accuracy:0.8133
2019-11-09 00:56:25iters: 560, loss:0.5427, accuracy:0.8141
2019-11-09 00:59:27iters: 580, loss:0.5154, accuracy:0.8215
2019-11-09 01:02:29iters: 600, loss:0.5683, accuracy:0.8109
2019-11-09 01:05:30iters: 620, loss:0.5184, accuracy:0.8155
2019-11-09 01:08:30iters: 640, loss:0.5790, accuracy:0.8017
2019-11-09 01:11:28iters: 660, loss:0.4993, accuracy:0.8224
2019-11-09 01:14:21iters: 680, loss:0.5345, accuracy:0.8116
2019-11-09 01:17:14iters: 700, loss:0.5138, accuracy:0.8263
2019-11-09 01:20:08iters: 720, loss:0.5299, accuracy:0.8128
2019-11-09 01:23:05iters: 740, loss:0.4884, accuracy:0.8236
2019-11-09 01:25:55iters: 760, loss:0.4861, accuracy:0.8295
2019-11-09 01:28:51iters: 780, loss:0.4698, accuracy:0.8278
