2020-05-31 22:09:12 iters: 100, loss:1.3997, accuracy:0.5533
2020-05-31 22:10:27 iters: 200, loss:0.8986, accuracy:0.6341
2020-05-31 22:11:43 iters: 300, loss:0.7306, accuracy:0.659
2020-05-31 22:13:02 iters: 400, loss:0.6590, accuracy:0.6739
2020-05-31 22:14:20 iters: 500, loss:0.6224, accuracy:0.6778
2020-05-31 22:15:39 iters: 600, loss:0.5988, accuracy:0.6836
2020-05-31 22:16:59 iters: 700, loss:0.5834, accuracy:0.6916
2020-05-31 22:18:20 iters: 800, loss:0.5493, accuracy:0.6996
2020-05-31 22:19:41 iters: 900, loss:0.5449, accuracy:0.6977
2020-05-31 22:21:03 iters:1000, loss:0.5170, accuracy:0.7019
2020-05-31 22:22:25 iters:1100, loss:0.5071, accuracy:0.7026
2020-05-31 22:23:46 iters:1200, loss:0.4912, accuracy:0.7107
2020-05-31 22:25:08 iters:1300, loss:0.4959, accuracy:0.7083
2020-05-31 22:26:30 iters:1400, loss:0.4965, accuracy:0.7128
2020-05-31 22:27:52 iters:1500, loss:0.4757, accuracy:0.7107
2020-05-31 22:29:14 iters:1600, loss:0.4883, accuracy:0.7081
2020-05-31 22:30:36 iters:1700, loss:0.4758, accuracy:0.7071
2020-05-31 22:31:58 iters:1800, loss:0.4525, accuracy:0.719
2020-05-31 22:33:20 iters:1900, loss:0.4532, accuracy:0.7195
2020-05-31 22:34:42 iters:2000, loss:0.4592, accuracy:0.716
2020-05-31 22:36:04 iters:2100, loss:0.4430, accuracy:0.7217
2020-05-31 22:37:26 iters:2200, loss:0.4261, accuracy:0.7272
2020-05-31 22:38:48 iters:2300, loss:0.4348, accuracy:0.7221
2020-05-31 22:40:10 iters:2400, loss:0.4186, accuracy:0.7234
2020-05-31 22:41:33 iters:2500, loss:0.4203, accuracy:0.7254
2020-05-31 22:42:54 iters:2600, loss:0.4302, accuracy:0.7277
2020-05-31 22:44:16 iters:2700, loss:0.4283, accuracy:0.7263
2020-05-31 22:45:38 iters:2800, loss:0.4279, accuracy:0.7243
2020-05-31 22:47:01 iters:2900, loss:0.4075, accuracy:0.7266
2020-05-31 22:48:22 iters:3000, loss:0.4243, accuracy:0.7259
